biojava,DM_STRING_CTOR,org/biojava/nbio/genome/parsers/gff/GeneIDGFF2Reader.java,150
biojava,DM_STRING_CTOR,org/biojava/nbio/genome/parsers/gff/GeneMarkGTFReader.java,150
biojava,ES_COMPARING_STRINGS_WITH_EQ,org/biojava/nbio/ontology/Term.java,230
biojava,ES_COMPARING_STRINGS_WITH_EQ,org/biojava/nbio/structure/StructureTools.java,531
biojava,ES_COMPARING_STRINGS_WITH_EQ,org/biojava/nbio/structure/ecod/EcodInstallation.java,371
biojava,ES_COMPARING_STRINGS_WITH_EQ,org/biojava/nbio/structure/secstruc/SecStrucTools.java,188
biojava,ES_COMPARING_STRINGS_WITH_EQ,org/biojava/nbio/structure/secstruc/SecStrucTools.java,117
biojava,NM_CLASS_NAMING_CONVENTION,org/biojava/nbio/core/sequence/location/InsdcParser.java,91
biojava,BIT_SIGNED_CHECK,org/biojava/nbio/core/util/UncompressInputStream.java,433
biojava,BIT_SIGNED_CHECK,org/biojava/nbio/core/util/UncompressInputStream.java,436
biojava,BIT_SIGNED_CHECK,org/biojava/nbio/core/util/UncompressInputStream.java,425
spring-comparing-template-engines,NM_CLASS_NAMING_CONVENTION,base.java,15
spring-comparing-template-engines,NM_CLASS_NAMING_CONVENTION,com/jeroenreijn/examples/model/i18nLayout.java,19
spring-comparing-template-engines,NM_CLASS_NAMING_CONVENTION,index.java,21
fabric8-maven-plugin,UI_INHERITANCE_UNSAFE_GETRESOURCE,io/fabric8/maven/plugin/mojo/build/HelpMojo.java,72
cloud-espm-v2,ES_COMPARING_STRINGS_WITH_EQ,com/sap/espm/model/data/XMLParser.java,402
cloud-espm-v2,ES_COMPARING_STRINGS_WITH_EQ,com/sap/espm/model/data/XMLParser.java,545
cloud-espm-v2,ES_COMPARING_STRINGS_WITH_EQ,com/sap/espm/model/data/XMLParser.java,288
cloud-espm-v2,ES_COMPARING_STRINGS_WITH_EQ,com/sap/espm/model/data/XMLParser.java,751
cloud-espm-v2,ES_COMPARING_STRINGS_WITH_EQ,com/sap/espm/model/data/XMLParser.java,671
jetty.project,UI_INHERITANCE_UNSAFE_GETRESOURCE,org/eclipse/jetty/maven/plugin/HelpMojo.java,72
jetty.project,NM_SAME_SIMPLE_NAME_AS_SUPERCLASS,org/eclipse/jetty/webapp/DecoratingListener.java,29
paho.mqtt.java,DM_STRING_CTOR,org/eclipse/paho/mqttv5/client/security/SSLSocketFactoryFactory.java,288
paho.mqtt.java,DM_STRING_CTOR,org/eclipse/paho/client/mqttv3/internal/security/SSLSocketFactoryFactory.java,290
superword,STCAL_STATIC_SIMPLE_DATE_FORMAT_INSTANCE,org/apdplat/superword/model/HistoryRecord.java,-1
superword,STCAL_STATIC_SIMPLE_DATE_FORMAT_INSTANCE,org/apdplat/superword/model/User.java,-1
asmsupport,ES_COMPARING_STRINGS_WITH_EQ,cn/wensiqun/asmsupport/org/objectweb/asm/ClassReader.java,931
wro4j,BIT_SIGNED_CHECK,ro/isdc/wro/util/Base64.java,792
wro4j,BIT_SIGNED_CHECK,ro/isdc/wro/util/Base64.java,1187
wro4j,BIT_SIGNED_CHECK,ro/isdc/wro/util/Base64.java,1186
spring-mvc-angular-js-hibernate-bootstrap-java-single-page-jwt-auth-rest-api-webapp-framework,NM_SAME_SIMPLE_NAME_AS_INTERFACE,yourwebproject2/unusedspringsecurity/UserDetailsService.java,-1
